date,20_ER,20_MKT,40_ER,40_MKT,45_ER,45_MKT,10_ER,10_MKT,25_ER,25_MKT,50_ER,50_MKT,55_ER,55_MKT,35_ER,35_MKT,30_ER,30_MKT,15_ER,15_MKT,60_ER,60_MKT
2016-06-24,0.006943650970071511,2407358.5678929696,0.0027914230014335407,3322964.82193005,-0.0015513269672776681,2938381.5180234406,0.01808071927912325,1417968.3704048102,0.007421539902296647,2120537.60419318,-0.00017949688679622734,2666707.62307201,0.01044092210868421,782108.42721985,0.004551608379176951,3129200.01052348,0.006349027217583107,2013541.2344567303,0.016282502029075,664093.1014538199,0.016432922746317538,935320.0580668399
2016-07-29,0.0212857315729401,2452482.2394147,0.014782945421302133,3468226.11786565,0.03688406963689346,3070653.8765621996,0.004925329584894493,1406711.1560976198,0.02205709610129771,2204446.4989876403,0.030955584420258173,2760327.6213852097,0.01140702886672437,816657.3065561499,0.017301052960085012,3275391.6193073103,0.016999018917902547,2131416.6121798996,0.01952291688615474,690507.56647992,0.028010526737713766,1017760.4718429298
2016-08-26,0.018412861450928686,2480947.90243722,0.01403072697266559,3554003.3878009506,0.02292367606687051,3194337.3221890205,0.022717177787949253,1442297.0961989097,0.01526804550246921,2202811.05299461,0.015228729005519765,2775606.0149834305,0.0078591924675547,781883.0057018299,0.00862916981184648,3253549.27095207,0.011803064026693877,2105686.31266141,0.025321373877561993,694845.7429836601,0.018225525067505154,999107.8928817702
2016-09-30,0.030130930362026315,2451751.09040961,0.023874735655119377,3520009.91260202,0.031741073639560344,3151600.56785288,0.03631112989688849,1397631.78331012,0.023678823159192352,2117855.52492327,0.02640919373231274,2785426.32755118,0.012685883608412218,774203.32532388,0.026062944562688116,3181259.8017795803,0.013159966596317187,2029815.81148028,0.04582188349765424,675177.8213874999,0.024362292258953627,998369.9658888399
2016-10-28,-0.002320807593363194,2425837.6860408196,-0.00121609194667635,3622635.22750483,-0.004435809615690067,3231934.62485459,0.021590403660395135,1452887.5362330102,-0.011737748783046575,2112801.50496248,-0.007497937040728122,2818518.9656977197,0.002290126268298474,737521.5299346,-0.018354163703685755,3045585.20820321,-0.0008179366174275808,2025075.72308421,0.004832520190893484,674451.48083926,-0.010935849370157093,952121.7741380599
2016-11-25,0.029384121841350006,2618163.57261459,0.03253791154818362,3993923.6946504903,0.008524106213616198,3287369.40076618,0.021946726409331114,1501259.14557913,0.01112189276935702,2134700.48224774,-0.005268542645344728,2767374.99236983,-0.001626919317612401,720311.1377026401,0.0042034190152603675,3075612.50512881,-0.004145489284194013,1975429.8844033303,0.02745436300580348,710519.6762295599,-0.006877244802898053,901469.83130618
2016-12-30,0.03421639413392599,2689649.7731685704,0.04516814964144375,4194661.8605227,0.012877716891683277,3363696.27485878,0.019736868720839087,1584484.95563102,0.010600704617119235,2140631.3500637403,0.0024530439084225965,2864538.9505289397,-0.0002358113706093019,753624.38101894,-0.0047759700507343265,3065790.7331656097,-0.0030063135176611696,2014787.87825006,0.025148790223510412,729810.63389077,-0.007880934539467333,940719.69065659
2017-01-27,0.04671830827422063,2686212.80713225,0.05703167973270798,4159571.38421444,0.03578884513568681,3320714.08979465,0.023260440836818656,1545026.1860780201,0.02775902327262915,2170710.19711895,0.01821517250707318,3002388.09581469,0.0024207852879068632,737264.40039275,0.01812662572243214,3077802.0119098695,0.0027686865173253013,2010586.8605272297,0.045702438320803,745910.4527886901,0.011045822195812936,964026.9431983699
2017-02-24,0.015573437753344813,2773551.27433827,0.02471193460345318,4374795.559061879,0.04452745688013306,3545219.9678636,-0.0028039687587214446,1494050.97875535,0.017001094786178332,2225869.96197364,0.03207691844704634,3031593.60983572,0.020127627475913363,754819.6241515699,0.02262191985015293,3236651.6770336796,0.019909082308686103,2090340.88191119,0.020122315619478425,771515.00467634,0.022962475557568078,971985.80103699
2017-03-31,0.007385070419329461,2711031.1129977796,0.014068701958752572,4212170.84534728,0.038485543684882426,3560060.1381985396,-0.006835905605532639,1416093.4486069202,0.016540272975854607,2230916.08712005,0.028994099809097243,3049284.8217004603,0.01785776331053369,787900.9678693099,0.02714320486323117,3237486.4346860796,0.019527542130806725,2074318.4328519201,0.013397556167387479,760166.1197665099,0.021170346415219816,960207.1808266798
2017-04-28,0.0047962018416415324,2787487.1536049303,-0.0022457434053091514,4265704.98380319,0.034420937942814846,3593961.0156339398,-0.015387886501924977,1403614.7550497204,0.016432302287577142,2313967.9022618397,0.028830310266631236,3132691.413693411,0.02036666547966051,791429.27834566,0.025285326277807475,3243097.90685446,0.015053051202972177,2101558.26401081,0.005277127653100634,775957.1232948201,0.020890623156758076,990577.2442063
2017-05-26,0.0031551478207156687,2778338.3211096,-0.01436958754341195,4214548.96327372,0.020671929820547733,3724060.57552805,-0.01605494754966179,1392427.00789394,0.013795843029491328,2346139.01062371,0.026067181758195675,3209741.27388262,0.02732167186586862,795791.8385844799,0.012913331660368541,3270262.55447562,0.012589126181254325,2107512.4672094,0.005319015802055712,763851.52926006,0.018809561869166103,985254.97120378
2017-06-30,0.009747419930087873,2831940.45291455,0.006768201648706478,4348956.46179231,0.01442291047713692,3819238.4362397697,-0.01620812184439996,1325211.1278138196,0.018692455607011705,2379742.37230759,0.02392314997267631,3209473.7666356303,0.013378371080505701,816281.6995461698,0.019139983103631738,3512034.35722646,0.0010714794303475835,2075666.8406844498,0.011008568832374202,779439.90446206,0.012321805751225809,1017217.85986659
2017-07-28,0.013561406940147635,2842834.44657671,0.014943590217909178,4484375.204680771,0.01891342044856329,3915686.4536436806,-0.009531046787733843,1357346.2360885402,0.01597629914074511,2374242.11414667,0.02712812230604593,3316867.67039217,0.01397735302133357,809057.47404711,0.014233746167931174,3527389.9489144497,0.004214958600192612,2050032.83391393,0.015426123909653025,801055.9240541,0.007235794358843683,1011692.71234679
2017-08-25,0.005488544646807159,2777577.2063508,0.011347867627151422,4412286.942137579,0.011636841978499356,3849016.1476382203,-0.011504601409600048,1281747.41674653,0.004242930533827675,2284122.04642194,0.011621805995754426,3203035.0603869297,0.006667847457225147,832704.4651517,0.0018611938213362804,3424125.614799,-0.005115265496124212,2059099.6144926301,0.0076852530822982875,770982.90769732,-0.0015454970854681988,1008220.2428164601
