,BM,HML,SMB,MOM,OP,INV,REV
2013-11-08,274.82231091938536,0.7192732419670516,122.54244687182381,51.07841257620857,93.24164690846295,15.791397386942045,255.64564148659983
2013-11-15,279.5082494198205,0.7245114615902482,120.6196956278937,51.36564776966314,93.79414008670078,15.908951867648659,257.0537439211901
2013-11-22,280.49396135116365,0.7196324149947628,122.32087548573942,51.12184166867067,94.93091729605743,15.867127672450232,258.0896493715183
2013-11-29,281.1207913548663,0.7142249088430527,126.72675656450336,51.46328916959811,93.64573615518384,15.743678222766556,261.2831447907334
2013-12-06,280.82686890496433,0.7156509782111163,124.2090690643764,51.96562368961413,93.91202564436315,15.854668951006117,263.4069898267674
2013-12-13,276.3977761519792,0.7130559825650223,123.46344215836785,51.79489087027229,94.06121518591151,15.833822657339681,263.88778735499005
2013-12-20,283.33604602676735,0.7105653581815154,125.41016418837273,52.03658137888238,93.19511684216592,15.84451489785287,263.10895752970936
2013-12-27,286.93831320939546,0.708586159735938,126.55648527499307,51.68807459919757,92.73117469639753,15.799051662560647,262.7057891960749
2014-01-03,285.58084427298246,0.7076014800649216,127.60534446001381,51.312924890468814,91.81556686009597,15.78249084358774,264.90918536232203
2014-01-10,287.733993105823,0.7093894306736029,125.53064186358365,52.842942996007444,91.09552754195379,16.200712533227108,262.65649859551485
2014-01-17,287.4178158316252,0.7057078062846102,127.45300762292415,52.50127159018431,89.26280407004413,16.209907044580977,263.58991332719313
2014-01-24,280.3613430716471,0.7028255409225113,129.0320672599326,51.756458068322125,88.66669337391374,16.337561849588727,267.0773263300079
2014-01-31,280.02227522097047,0.7028953019208074,125.76929314283927,52.275415649398255,89.3118148023273,16.42201036381548,264.22003199395016
2014-02-07,282.43302087230944,0.6999819059737921,121.77439725498266,51.9197402093428,90.31461869754516,16.412878058790493,262.72252415152445
2014-02-14,289.57061243322966,0.6970177069473099,122.09375990139121,51.859107861405505,89.88059546399498,16.33155450423035,260.83763619515224
2014-02-21,289.98350838496594,0.7004196032717864,122.97523105843598,52.62222183758863,89.17885953367319,16.441672938200803,256.56008573589617
2014-02-28,293.84114981565693,0.6935293895405551,123.23736127470342,52.648591231416205,89.62547128386991,16.368133934766075,259.7665404962041
2014-03-07,297.0504837662531,0.6849444980278613,125.2863549177566,52.73590932989106,89.4460831216348,16.239944479916964,261.55539113802615
2014-03-14,291.46955721713175,0.6808279316741725,125.05616524614697,52.4602972365543,89.3144954083668,16.28482895341628,261.35526363084944
2014-03-21,295.097998405065,0.6720559847594123,125.20304326160583,52.14579575847399,89.23073002512072,16.086143018112576,261.00821616846406
2014-03-28,292.3039727244417,0.6716076957017557,121.60103419613031,51.22875722352364,91.0849218812563,16.03167639075925,261.5507532947442
2014-04-04,293.2062398609484,0.6650443429612547,120.63183152426875,50.81103354646332,92.40981519958196,15.868155933727236,260.1347729350532
2014-04-11,285.0339249896782,0.6614176568416347,121.2916359929718,49.718112328496446,93.16578048447589,15.782966814230967,256.607506680109
2014-04-18,292.5863327273633,0.6645535764763396,119.39745658513043,50.305177591267515,93.87512321082241,15.823616628834726,254.44091394729503
