,MSCI USA,MSCI EUROPE,MSCI EM,MSCI KOREA,MSCI JAPAN
2015-06-12,0.3441199618190161,0.10067868487144926,0.006700854445947662,0.21628907568657996,0.33221142317700697
2015-06-19,0.3358110200043171,0.09081890494549753,0.009825571155870414,0.2400569679908014,0.3234875359035134
2015-06-26,0.3423053795371999,0.08265218204304806,0.008499993871594013,0.2500871856406916,0.31645525890746634
2015-07-03,0.45451336721744523,0.190113077415141,0.02694727725148178,0.07498448438328328,0.25344179373264863
2015-07-10,0.4370935436829596,0.2004472231599424,0.029449003318438118,0.06577390463809929,0.2672363252005606
2015-07-17,0.34188068024271806,0.09173397154222206,0.002217258238660413,0.22426493927644015,0.33990315069995936
2015-07-24,0.34303563074824833,0.0918673514395571,0.003104085384406221,0.22527930910449787,0.33671362332329036
2015-07-31,0.34262074550424243,0.08774180973154347,0.004857896135879075,0.23528539933500267,0.32949414929333243
2015-08-07,0.3445959857135103,0.0953807409423865,0.006998076696806825,0.22560155016814043,0.327423646479156
2015-08-14,0.3326779430635333,0.10031711836619817,0.017716999159487008,0.23813471748154405,0.31115322192923744
2015-08-21,0.325465360972827,0.1750879401027116,0.07846109306324625,0.21671345613716342,0.2042721497240516
2015-08-28,0.1996376435394056,0.16195035680874256,0.1839451854276711,0.4458683573544278,0.008598456869752698
2015-09-04,0.42720034503587584,0.2059817019594861,0.048444929960640204,0.09084828279727047,0.22752474024672736
2015-09-11,0.4216581926663527,0.2043993870074575,0.048932059526166964,0.09559270439341998,0.22941765640660286
2015-09-18,0.45992460862408924,0.20435771563258961,0.04241878524346371,0.07596330249614303,0.21733558800371441
2015-09-25,0.4097451945005787,0.16103531661520876,0.021855753478923136,0.12546299978812062,0.28190073561716883
2015-10-02,0.41451712668356816,0.19682870941433098,0.04832667556763657,0.10893037901931321,0.23139710931515103
2015-10-09,0.3510967460925204,0.09601632225681904,0.011766136136844407,0.2311265809135634,0.3099942146002528
2015-10-16,0.3354390265527407,0.09257449773915138,0.00763289194340311,0.23347568411141517,0.33087789965328956
2015-10-23,0.3406316601655268,0.07902535827178685,0.005391755073663026,0.25131130162677356,0.3236399248622499
2015-10-30,0.34405251778531604,0.07835489891914366,0.004735491058965099,0.25055351642303064,0.3223035758135444
2015-11-06,0.3290996300216175,0.1329098203911409,0.01009410519675085,0.17118637863766561,0.3567100657528251
2015-11-13,0.34298094700681325,0.10641477629261631,0.004412111111903738,0.20301922771083772,0.343172937877829
2015-11-20,0.3434258020358153,0.09787708843248795,0.006497442935131105,0.22081786186783744,0.33138180472872825
2015-11-27,0.33410527839560683,0.10178194361241279,0.003531275224761461,0.21133915018402966,0.34924235258318925
2015-12-04,0.34098598921454915,0.08440924898991548,0.006507700165305686,0.2440573600712921,0.3240397015589377
2015-12-11,0.3668379754346592,0.11926406948821966,0.01862642483631832,0.20003641282225865,0.29523511741854425
2015-12-18,0.3647122361085493,0.14046679152841376,0.027672144280037517,0.18013825658106505,0.2870105715019344
2015-12-25,0.33070079721083423,0.09068343407089073,0.01893380605897683,0.25685753164570047,0.3028244310135978
2016-01-01,0.3584981181312066,0.10480333480665445,0.005538915576627391,0.20411982466371653,0.32703980682179506
2016-01-08,0.3319755168212692,0.18595701901879427,0.03684273607614644,0.12651228073174384,0.3187124473520463
2016-01-15,0.3008741413516309,0.1785196613400514,0.011838384391923515,0.10376865347766918,0.40499915943872505
2016-01-22,0.2967297572095928,0.16968194036841147,0.020353926429341557,0.13399471371884944,0.3792396622738047
2016-01-29,0.3148154054824387,0.13021857356828398,0.016490017888768426,0.18977903634460674,0.3486969667159022
2016-02-05,0.3060973219860039,0.1349636884118485,0.025976427565861302,0.19982275207583583,0.3331398099604504
2016-02-12,0.24666964866759652,0.16736682869035646,0.10358274300556548,0.2900901392764893,0.19229064035999227
2016-02-19,0.3017168017803463,0.16370482122915417,0.015603181654701134,0.13488484339734083,0.3840903519384575
2016-02-26,0.31530374390638716,0.14838132843708277,0.002655986883532576,0.1356858199159618,0.39797312085703584
2016-03-04,0.3301726735918374,0.10234700858230475,0.006282177177843827,0.2159351075184554,0.3452630331295585
2016-03-11,0.32832484470047624,0.09444735052949953,0.014165018610189845,0.24299075894888872,0.32007202721094585
2016-03-18,0.33718622278690524,0.08630049597322094,0.013481440933084957,0.25353724305888686,0.30949459724790196
2016-03-25,0.34386274842370224,0.08744473844130841,0.013172587036682363,0.24957464532149337,0.3059452807768136
2016-04-01,0.3429606088938228,0.0911015460564108,0.016864709066591203,0.24987225552094458,0.29920088046223065
2016-04-08,0.3844402362307775,0.13292569683891442,0.011664594979914705,0.16126846684604715,0.30970100510434634
2016-04-15,0.44690132303975927,0.17100332857561643,0.021635263034410098,0.09988639803095403,0.26057368731926017
2016-04-22,0.39276764368732386,0.11544674319319473,0.017746367854906617,0.19909262453239848,0.2749466207321764
2016-04-29,0.37866110483790144,0.09636115626158882,0.010252443202990577,0.2217341247652274,0.2929911709322919
2016-05-06,0.3436604774609236,0.08080032844114513,0.006226468442466641,0.24904946258396057,0.32026326307150405
2016-05-13,0.35322573365642823,0.08454505413291145,0.006195561513456508,0.24052508942692818,0.3155085612702756
