,US 1-3Y GOVT,US 5Y GOVT,US 10Y GOVT,US 30Y GOVT
2019-10-11,0.4420669730344013,0.23619152169756022,0.17300852039305215,0.14873298487498635
2019-10-18,0.3154353946330332,0.31716752877106197,0.2759327212050276,0.0914643553908773
2019-10-25,0.29409427985724845,0.3373969036718718,0.2999809864267788,0.06852783004410094
2019-11-01,0.19318374941531255,0.1258680512785201,0.2099872779389679,0.4709609213671994
2019-11-08,0.5071380179413211,0.11845905670260064,0.07637223136699195,0.29803069398908644
2019-11-15,0.5902131938083014,0.1179106935104875,0.04172084839671601,0.25015526428449514
2019-11-22,0.6261782299397074,0.12451813156582124,0.030134171387133812,0.21916946710733753
2019-11-29,0.5238333282318828,0.11800636221433854,0.0692376327491278,0.28892267680465095
2019-12-06,0.3594220891993852,0.2965692792911728,0.24660693732413955,0.0974016941853025
2019-12-13,0.5159578224986421,0.13062846814524523,0.07879268288721963,0.27462102646889314
2019-12-20,4.191465098245822e-05,0.1301779372729333,0.2920623144082324,0.5777178336678518
2019-12-27,0.39328857444928267,0.12367121545383256,0.12608485477230996,0.3569553553245748
2020-01-03,0.00011451838491775222,0.13017616359382603,0.2920313850772121,0.5776779329440442
2020-01-10,0.009591983068862497,0.12994682845289038,0.28799506188287366,0.5724661265953735
2020-01-17,0.0014850234215594762,0.13014270486389287,0.29144755832553026,0.5769247133890174
2020-01-24,0.5055155254258734,0.12049525039971444,0.07805931972966111,0.29592990444475115
2020-01-31,0.5235453501400384,0.18782150644168566,0.10426084013373638,0.18437230328453943
2020-02-07,0.5879369996830184,0.13991819868277602,0.05364035245679477,0.21850444917741077
2020-02-14,0.5936895774974503,0.13051089226644855,0.04656739442754339,0.22923213580855772
2020-02-21,0.44442457084676185,0.24738710476376802,0.1795327953559712,0.128655529033499
2020-02-28,9.505543004194043e-05,0.13021557842801715,0.29205909969403987,0.5776302664479012
2020-03-06,4.228505775126037e-05,0.13017827550777988,0.292062329842983,0.5777171095914858
2020-03-13,4.182804790150707e-05,0.13017793938931813,0.29206235130166525,0.5777178812611152
2020-03-20,4.1828047901497717e-05,0.13017793938931813,0.29206235130166525,0.5777178812611152
2020-03-27,4.182804790149798e-05,0.13017793938931813,0.29206235130166525,0.5777178812611152
2020-04-03,4.204066582864285e-05,0.13017809576324582,0.29206234131787,0.5777175222530556
2020-04-10,0.00016342197908736562,0.1302625847414261,0.292054256030026,0.5775197372494606
2020-04-17,0.00013951492494734545,0.13025010671945106,0.2920580075731091,0.5775523707824926
2020-04-24,0.037530908324822206,0.15702163483849757,0.29006699326009383,0.5153804635765864
2020-05-01,0.4019642396794863,0.2386596212223879,0.18972194341563473,0.16965419568249104
2020-05-08,0.26598078020991905,0.34779926130410715,0.31267560311523696,0.07354435537073697
2020-05-15,0.30454873778910424,0.3360006683173195,0.2780702122301192,0.0813803816634571
2020-05-22,0.045413077025680613,0.13470808552248,0.2755466775943107,0.5443321598575287
2020-05-29,0.293626059293143,0.3215185028940189,0.2769683129018059,0.10788712491103229
2020-06-05,0.26454847976608503,0.39325467225892285,0.3308876266235729,0.01130922135141921
2020-06-12,0.26104266637703777,0.33760932678233296,0.29137580961154114,0.10997219722908813
2020-06-19,0.20892522102997566,0.28612181755805616,0.28399483695168315,0.220958124460285
2020-06-26,0.22720103771538078,0.3566828587879772,0.3268388911266116,0.08927721237003049
2020-07-03,0.2273269491635308,0.39655842797707413,0.36012376608734964,0.01599085677204543
2020-07-10,0.23166253330761633,0.37345226606140886,0.34749407968442786,0.047391120946546884
2020-07-17,0.22851350910856852,0.15458196766664298,0.20969005225782197,0.40721447096696667
2020-07-24,0.27215559367193504,0.3252077846506384,0.30261597378630234,0.10002064789112412
2020-07-31,0.17877382006513431,0.3843036195232793,0.3769165097806362,0.06000605063095014
2020-08-07,0.17596668314452163,0.3539853789390277,0.3562058345645628,0.11384210335188777
2020-08-14,0.10003229795658007,0.13744652545158434,0.254310321505552,0.5082108550862836
2020-08-21,0.2392195046591813,0.35965112474187166,0.33430316280657796,0.0668262077923692
2020-08-28,0.29680433279386487,0.3272760218559739,0.29247899821084217,0.08344064713931906
2020-09-04,0.27319442449721343,0.3474994234730595,0.3155523159069588,0.06375383612276836
